model,patch_id,p_yes_hedged,p_yes_claims,drop
Qwen/Qwen2.5-14B-Instruct,patch_013,6.556558673451746e-06,1.7179604306825186e-07,6.384762630383494e-06
Qwen/Qwen2.5-14B-Instruct,patch_033,4.984617700320082e-06,6.181284335032893e-09,4.978436415985049e-06
Qwen/Qwen2.5-14B-Instruct,patch_010,4.111409248593162e-06,1.226470512041591e-07,3.988762197389002e-06
Qwen/Qwen2.5-14B-Instruct,patch_047,2.470439701585773e-06,1.177308249502077e-09,2.469262393336271e-06
Qwen/Qwen2.5-14B-Instruct,patch_012,1.82984561980488e-06,1.4002429346578137e-06,4.296026851470663e-07
Qwen/Qwen2.5-14B-Instruct,patch_003,3.12048253079412e-07,4.2231141243568974e-08,2.69817111835843e-07
Qwen/Qwen2.5-14B-Instruct,patch_048,7.943914049957894e-08,5.187793279136372e-09,7.425134722044257e-08
Qwen/Qwen2.5-14B-Instruct,patch_022,3.323394112533998e-08,5.738480222585124e-09,2.7495460902754858e-08
Qwen/Qwen2.5-14B-Instruct,patch_024,7.780401151652729e-09,2.5347037085923024e-10,7.5269307807935e-09
Qwen/Qwen2.5-14B-Instruct,patch_049,9.490207640713869e-09,3.604401653032448e-09,5.885805987681421e-09
Qwen/Qwen2.5-14B-Instruct,patch_008,3.02267659788999e-08,4.824569530968337e-08,-1.801892933078347e-08
Qwen/Qwen2.5-14B-Instruct,patch_040,3.602375133404696e-05,0.0001254511248769,-8.942737354285303e-05
Qwen/Qwen2.5-14B-Instruct,patch_014,0.0007545270420974,0.0013077380756797,-0.0005532110335823001
Qwen/Qwen2.5-14B-Instruct,patch_006,0.9984638903661271,0.9992677631189488,-0.0008038727528216771
Qwen/Qwen2.5-32B-Instruct,patch_025,0.9046520849819448,9.614117008816062e-05,0.9045559438118567
Qwen/Qwen2.5-32B-Instruct,patch_016,0.7310586353820969,0.0011802119202278,0.7298784234618692
Qwen/Qwen2.5-32B-Instruct,patch_005,0.5623631999059677,0.0180298528955942,0.5443333470103735
Qwen/Qwen2.5-32B-Instruct,patch_017,0.8520484947583896,0.37784757482097,0.47420091993741964
Qwen/Qwen2.5-32B-Instruct,patch_032,0.2229903606164885,6.182912514637335e-06,0.22298417770397386
Qwen/Qwen2.5-32B-Instruct,patch_026,0.9890130620121994,0.777350400865841,0.21166266114635846
Qwen/Qwen2.5-32B-Instruct,patch_012,0.1827324154565868,0.0019350651412032,0.1807973503153836
Qwen/Qwen2.5-32B-Instruct,patch_035,0.9859627009416844,0.8522852317179809,0.1336774692237035
Qwen/Qwen2.5-32B-Instruct,patch_020,0.970645595669982,0.8807970947086594,0.08984850096132257
Qwen/Qwen2.5-32B-Instruct,patch_009,0.997522069510329,0.9770103511026064,0.02051171840772259
Qwen/Qwen2.5-32B-Instruct,patch_001,0.997524534436232,0.9820297334547882,0.015494800981443846
Qwen/Qwen2.5-32B-Instruct,patch_013,0.0111470903969512,4.033641131041515e-07,0.011146687032838096
Qwen/Qwen2.5-32B-Instruct,patch_014,0.0067602367664836,6.2446571843879845e-06,0.0067539921092992115
Qwen/Qwen2.5-32B-Instruct,patch_002,0.999441928775076,0.9947661652440268,0.0046757635310491485
Qwen/Qwen2.5-32B-Instruct,patch_044,0.999087585880407,0.9947780176155844,0.00430956826482265
Qwen/Qwen2.5-32B-Instruct,patch_050,0.0040734452024749,1.5503750931397426e-08,0.004073429698723968
Qwen/Qwen2.5-32B-Instruct,patch_021,0.9996607094927016,0.9959077712067368,0.003752938285964791
Qwen/Qwen2.5-32B-Instruct,patch_029,0.99994147152752,0.9975235176516248,0.0024179538758951624
Qwen/Qwen2.5-32B-Instruct,patch_048,0.0011715274325972,7.90784332680135e-06,0.0011636195892703986
Qwen/Qwen2.5-32B-Instruct,patch_033,0.0009115225543806,1.3289290499606568e-10,0.000911522421487695
Qwen/Qwen2.5-32B-Instruct,patch_023,0.9998763874383134,0.9990875243566611,0.000788863081652269
Qwen/Qwen2.5-32B-Instruct,patch_006,0.9999249472829106,0.9994465313895164,0.00047841589339414625
Qwen/Qwen2.5-32B-Instruct,patch_019,0.99998297539749,0.9997351096263956,0.0002478657710944798
Qwen/Qwen2.5-32B-Instruct,patch_047,5.8514205311037786e-05,3.9015554674369687e-11,5.851416629548311e-05
Qwen/Qwen2.5-32B-Instruct,patch_036,0.999999933763565,0.9999828643589584,1.7069404606551153e-05
Qwen/Qwen2.5-32B-Instruct,patch_027,1.0141636177060996e-05,8.327554056135086e-07,9.308880771447486e-06
Qwen/Qwen2.5-32B-Instruct,patch_011,0.9999987693252902,0.99999169864132,7.070683970211711e-06
Qwen/Qwen2.5-32B-Instruct,patch_046,0.9999962710775367,0.9999898649181794,6.406159357319474e-06
Qwen/Qwen2.5-32B-Instruct,patch_028,0.9999994953861486,0.9999962691787412,3.22620740744739e-06
Qwen/Qwen2.5-32B-Instruct,patch_038,2.2891260316259e-06,4.2323483369700414e-08,2.2468025482561997e-06
Qwen/Qwen2.5-32B-Instruct,patch_003,5.131171411988124e-07,2.5551762212223995e-08,4.875653789865885e-07
Qwen/Qwen2.5-32B-Instruct,patch_018,9.015364361643204e-08,2.706351801998542e-09,8.744729181443351e-08
Qwen/Qwen2.5-32B-Instruct,patch_034,2.5320635346113943e-08,1.7223147904896908e-10,2.5148403867064973e-08
Qwen/Qwen2.5-32B-Instruct,patch_042,0.999999979818949,0.9999999695075372,1.0311411724472919e-08
Qwen/Qwen2.5-32B-Instruct,patch_031,4.424552080171388e-09,2.367309126449249e-11,4.400878988906896e-09
Qwen/Qwen2.5-32B-Instruct,patch_045,5.949665756523431e-10,2.531734153911865e-12,5.924348414984312e-10
Qwen/Qwen2.5-32B-Instruct,patch_022,5.977646152268174e-10,1.1227464270664963e-11,5.865371509561524e-10
Qwen/Qwen2.5-32B-Instruct,patch_049,3.612393161072776e-10,5.924336542138405e-12,3.553149795651392e-10
Qwen/Qwen2.5-32B-Instruct,patch_008,4.795529526733904e-10,2.88155138556079e-10,1.9139781411731145e-10
Qwen/Qwen2.5-32B-Instruct,patch_024,3.8166182018892717e-11,3.377397916457911e-13,3.782844222724693e-11
Qwen/Qwen2.5-32B-Instruct,patch_010,2.722407847293507e-09,3.464744479306057e-09,-7.423366320125501e-10
Qwen/Qwen2.5-32B-Instruct,patch_039,0.9999976642933976,0.9999985683023186,-9.040089209433333e-07
Qwen/Qwen2.5-32B-Instruct,patch_037,3.146672087218316e-07,1.3939727507854843e-06,-1.0793055420636528e-06
Qwen/Qwen2.5-32B-Instruct,patch_007,0.9999719641462712,0.9999827672235138,-1.0803077242549364e-05
Qwen/Qwen2.5-32B-Instruct,patch_041,0.9999398540496838,0.9999622797232728,-2.2425673589010486e-05
Qwen/Qwen2.5-32B-Instruct,patch_030,0.99966455876251,0.9998765429792412,-0.00021198421673118695
Qwen/Qwen2.5-32B-Instruct,patch_043,0.9992891417021256,0.9995684670297996,-0.0002793253276740515
Qwen/Qwen2.5-32B-Instruct,patch_015,0.998069613184927,0.9984937439245178,-0.00042413073959080005
Qwen/Qwen2.5-32B-Instruct,patch_004,0.224276436822202,0.3229026996224314,-0.0986262628002294
Qwen/Qwen2.5-32B-Instruct,patch_040,0.8175745254032173,0.9859065367565186,-0.16833201135330134
Qwen/Qwen2.5-3B-Instruct,patch_001,0.9047189950942992,0.0601380676657872,0.844580927428512
Qwen/Qwen2.5-3B-Instruct,patch_019,0.500039681795807,7.649245375749108e-05,0.49996318934204953
Qwen/Qwen2.5-3B-Instruct,patch_048,0.2689475256831928,0.0015014629446056,0.2674460627385872
Qwen/Qwen2.5-3B-Instruct,patch_016,0.1482040032209159,0.0011931990601325,0.1470108041607834
Qwen/Qwen2.5-3B-Instruct,patch_046,0.0953536505440208,0.0002613234504082,0.0950923270936126
Qwen/Qwen2.5-3B-Instruct,patch_045,0.0758656951885152,6.148301819792146e-06,0.07585954688669541
Qwen/Qwen2.5-3B-Instruct,patch_042,0.0602082856077062,2.7812266607040807e-05,0.060180473341099154
Qwen/Qwen2.5-3B-Instruct,patch_014,0.060119849818197,4.597717533041577e-05,0.06007387264286659
Qwen/Qwen2.5-3B-Instruct,patch_013,0.0479454852334482,3.508502521598449e-07,0.047945134383196045
Qwen/Qwen2.5-3B-Instruct,patch_011,0.0474600579021884,0.000442343089813,0.0470177148123754
Qwen/Qwen2.5-3B-Instruct,patch_015,0.0293183996299505,2.84874750932833e-05,0.029289912154857215
Qwen/Qwen2.5-3B-Instruct,patch_039,0.0293189161833076,0.0001236812238715,0.029195234959436097
Qwen/Qwen2.5-3B-Instruct,patch_040,0.0293297299350234,0.0002041711362248,0.029125558798798603
Qwen/Qwen2.5-3B-Instruct,patch_050,0.0179898186965963,2.7573160624577883e-05,0.01796224553597172
Qwen/Qwen2.5-3B-Instruct,patch_018,0.0179887256925377,0.0001591802663114,0.017829545426226303
Qwen/Qwen2.5-3B-Instruct,patch_030,0.0140639131131784,6.167724695589877e-06,0.01405774538848281
Qwen/Qwen2.5-3B-Instruct,patch_043,0.0085916913089765,0.0004338869659335,0.008157804343043
Qwen/Qwen2.5-3B-Instruct,patch_036,0.0066978685646374,0.000100214722297,0.0065976538423404
Qwen/Qwen2.5-3B-Instruct,patch_034,0.0055991161159948,2.005901173197153e-06,0.005597110214821603
Qwen/Qwen2.5-3B-Instruct,patch_037,0.0052227041253487,5.865183275123577e-05,0.005164052292597464
Qwen/Qwen2.5-3B-Instruct,patch_005,0.0052876568264639,0.0003528734328857,0.004934783393578199
Qwen/Qwen2.5-3B-Instruct,patch_003,0.0040707307510032,1.7672133850835127e-06,0.004068963537618116
Qwen/Qwen2.5-3B-Instruct,patch_022,0.0040705057816398,7.953212677314175e-06,0.004062552568962486
Qwen/Qwen2.5-3B-Instruct,patch_007,0.0040745002201872,1.2027606082697115e-05,0.004062472614104503
Qwen/Qwen2.5-3B-Instruct,patch_002,0.0031791707265288,4.067465553721913e-07,0.0031787639799734277
Qwen/Qwen2.5-3B-Instruct,patch_020,0.0031813900238292,0.000125413796017,0.0030559762278122
Qwen/Qwen2.5-3B-Instruct,patch_038,0.0031779706998538,0.0002645201471133,0.0029134505527405
Qwen/Qwen2.5-3B-Instruct,patch_012,0.002476743063329,2.949834741767383e-06,0.0024737932285872326
Qwen/Qwen2.5-3B-Instruct,patch_017,0.0024760315236944,3.8098642286186512e-06,0.002472221659465781
Qwen/Qwen2.5-3B-Instruct,patch_004,0.0011710837349503,4.846181162245098e-06,0.0011662375537880548
Qwen/Qwen2.5-3B-Instruct,patch_041,0.0009175545995233,1.5941394460511274e-05,0.0009016132050627888
Qwen/Qwen2.5-3B-Instruct,patch_029,0.0007104513607784,6.42430125834053e-06,0.0007040270595200594
Qwen/Qwen2.5-3B-Instruct,patch_009,0.0004309088283413,2.30909785444937e-06,0.00042859973048685064
Qwen/Qwen2.5-3B-Instruct,patch_033,0.0003357018057371,2.517868120313357e-07,0.0003354500189250687
Qwen/Qwen2.5-3B-Instruct,patch_044,0.0001584660385177,3.2492121874709073e-08,0.0001584335463958253
Qwen/Qwen2.5-3B-Instruct,patch_049,0.0001584476332612,1.776372988219542e-06,0.00015667126027298046
Qwen/Qwen2.5-3B-Instruct,patch_028,0.0001239892940617,3.1946794646561814e-07,0.00012366982611523438
Qwen/Qwen2.5-3B-Instruct,patch_031,9.620330652636949e-05,1.1496508302192837e-07,9.608834144334756e-05
Qwen/Qwen2.5-3B-Instruct,patch_025,8.248766286536004e-05,1.979715671533862e-07,8.228969129820665e-05
Qwen/Qwen2.5-3B-Instruct,patch_006,7.506953223858392e-05,2.423258815461697e-07,7.482720635703775e-05
Qwen/Qwen2.5-3B-Instruct,patch_032,5.834116450920931e-05,5.33020835792848e-07,5.7808143673416466e-05
Qwen/Qwen2.5-3B-Instruct,patch_027,3.736590388705104e-05,3.3765019069958e-07,3.702825369635146e-05
Qwen/Qwen2.5-3B-Instruct,patch_010,1.7061526563617648e-05,3.150487624137227e-08,1.7030021687376275e-05
Qwen/Qwen2.5-3B-Instruct,patch_026,1.3564206755700713e-05,2.1143566435619682e-07,1.3352771091344517e-05
Qwen/Qwen2.5-3B-Instruct,patch_035,1.014092677276198e-05,2.389522676546795e-07,9.901974505107302e-06
Qwen/Qwen2.5-3B-Instruct,patch_023,1.1134065901067043e-06,3.591155906681325e-08,1.0774950310398912e-06
Qwen/Qwen2.5-3B-Instruct,patch_024,1.0833576921155704e-06,1.431917579267337e-08,1.069038516322897e-06
Qwen/Qwen2.5-3B-Instruct,patch_047,1.7828018620098386e-06,7.249531197903267e-07,1.0578487422195118e-06
Qwen/Qwen2.5-3B-Instruct,patch_021,5.065195863241557e-07,4.202110127586096e-08,4.6449848504829477e-07
Qwen/Qwen2.5-3B-Instruct,patch_008,3.2329785621272104e-07,6.758270538588967e-09,3.1653958567413206e-07
Qwen/Qwen2.5-7B-Instruct,patch_019,0.8175905155633283,0.0474372200054021,0.7701532955579262
Qwen/Qwen2.5-7B-Instruct,patch_050,0.7310685034516758,0.1480707459702775,0.5829977574813984
Qwen/Qwen2.5-7B-Instruct,patch_004,0.9241430690575908,0.4378333874642945,0.4863096815932963
Qwen/Qwen2.5-7B-Instruct,patch_039,0.9046566766540468,0.4378625434864429,0.46679413316760393
Qwen/Qwen2.5-7B-Instruct,patch_017,0.3209775531607041,0.0019298343273073,0.3190477188333968
Qwen/Qwen2.5-7B-Instruct,patch_041,0.6793771611344852,0.3778070330698281,0.3015701280646571
Qwen/Qwen2.5-7B-Instruct,patch_026,0.9890134862248277,0.7310888126108199,0.2579246736140077
Qwen/Qwen2.5-7B-Instruct,patch_036,0.9820143222179006,0.7310722585449682,0.2509420636729325
Qwen/Qwen2.5-7B-Instruct,patch_012,0.2227877203838097,0.0075820008599345,0.2152057195238752
Qwen/Qwen2.5-7B-Instruct,patch_018,0.1825100014083101,0.0046191127169607,0.17789088869134942
Qwen/Qwen2.5-7B-Instruct,patch_030,0.8808014327227962,0.7310649534742548,0.1497364792485414
Qwen/Qwen2.5-7B-Instruct,patch_046,0.1824561901259989,0.0373450050218803,0.1451111851041186
Qwen/Qwen2.5-7B-Instruct,patch_032,0.1480562786014827,0.0040706544722883,0.1439856241291944
Qwen/Qwen2.5-7B-Instruct,patch_029,0.9399178692588332,0.8519638053780227,0.0879540638808105
Qwen/Qwen2.5-7B-Instruct,patch_020,0.0601116116768229,0.0028066557144738,0.0573049559623491
Qwen/Qwen2.5-7B-Instruct,patch_009,0.1481116849703027,0.0954382302148734,0.0526734547554293
Qwen/Qwen2.5-7B-Instruct,patch_001,0.0474415434791402,0.0011702539210385,0.046271289558101704
Qwen/Qwen2.5-7B-Instruct,patch_015,0.0474386306117754,0.0109927707918884,0.036445859819886996
Qwen/Qwen2.5-7B-Instruct,patch_005,0.8519944925255705,0.8176143501216525,0.03438014240391796
Qwen/Qwen2.5-7B-Instruct,patch_007,0.060096513130789,0.0293245312544473,0.0307719818763417
Qwen/Qwen2.5-7B-Instruct,patch_016,0.022983395929803,9.614409165283646e-05,0.02288725183815016
Qwen/Qwen2.5-7B-Instruct,patch_044,0.037333855489917,0.0179948700175355,0.0193389854723815
Qwen/Qwen2.5-7B-Instruct,patch_025,0.0140705057163095,0.000430999682305,0.0136395060340045
Qwen/Qwen2.5-7B-Instruct,patch_021,0.0601480153930858,0.0474667243202834,0.0126812910728024
Qwen/Qwen2.5-7B-Instruct,patch_043,0.008579471730008,0.0004307705437661,0.0081487011862419
Qwen/Qwen2.5-7B-Instruct,patch_031,0.0066935315733402,0.000552846326807,0.0061406852465332
Qwen/Qwen2.5-7B-Instruct,patch_040,0.0040711060450464,2.4314611137297e-05,0.004046791433909103
Qwen/Qwen2.5-7B-Instruct,patch_002,0.0052239682011575,0.0019291322006729,0.0032948360004846
Qwen/Qwen2.5-7B-Instruct,patch_023,0.0031735825719429,0.0001234236140118,0.0030501589579311
Qwen/Qwen2.5-7B-Instruct,patch_013,0.0019273559169354,1.1486429668356402e-05,0.0019158694872670435
Qwen/Qwen2.5-7B-Instruct,patch_047,0.0019276175789808,1.301233209288357e-05,0.0019146052468879164
Qwen/Qwen2.5-7B-Instruct,patch_014,0.0015014016055909,2.1454414037293056e-05,0.0014799471915536069
Qwen/Qwen2.5-7B-Instruct,patch_034,0.0010326235038748,1.4745340673748136e-05,0.001017878163201052
Qwen/Qwen2.5-7B-Instruct,patch_042,0.9998415573718046,0.9992902803560622,0.000551277015742424
Qwen/Qwen2.5-7B-Instruct,patch_008,0.0004306609995925,5.831324416364901e-05,0.00037234775542885096
Qwen/Qwen2.5-7B-Instruct,patch_022,0.0004306192860866,6.606642565360443e-05,0.0003645528604329956
Qwen/Qwen2.5-7B-Instruct,patch_037,0.0003354220553972,2.145360824208012e-05,0.00031396844715511987
Qwen/Qwen2.5-7B-Instruct,patch_003,0.0002306714245403,1.894000821471673e-05,0.00021173141632558327
Qwen/Qwen2.5-7B-Instruct,patch_038,0.0001585333100563,3.291764473056332e-06,0.00015524154558324368
Qwen/Qwen2.5-7B-Instruct,patch_035,0.000158456707113,3.536649650341078e-05,0.00012309021060958922
Qwen/Qwen2.5-7B-Instruct,patch_049,5.83330190671689e-05,6.484233268869742e-07,5.768459574028192e-05
Qwen/Qwen2.5-7B-Instruct,patch_033,4.540594690333888e-05,5.04623718639793e-07,4.4901323184699084e-05
Qwen/Qwen2.5-7B-Instruct,patch_010,3.5369207859165176e-05,1.2115475827929209e-06,3.415766027637225e-05
Qwen/Qwen2.5-7B-Instruct,patch_045,2.7536918080269446e-05,1.995028889178053e-06,2.5541889191091392e-05
Qwen/Qwen2.5-7B-Instruct,patch_048,5.043921085690693e-07,4.1408983270003566e-08,4.629831252990657e-07
Qwen/Qwen2.5-7B-Instruct,patch_024,2.384153248156557e-07,1.958786385018055e-08,2.1882746096547513e-07
Qwen/Qwen2.5-7B-Instruct,patch_027,2.703041141983815e-07,1.378029370026969e-06,-1.1077252558285873e-06
Qwen/Qwen2.5-7B-Instruct,patch_006,0.0109901274098098,0.0109937484150276,-3.621005217800677e-06
Qwen/Qwen2.5-7B-Instruct,patch_011,0.2227531044420706,0.2228179362590798,-6.483181700919771e-05
Qwen/Qwen2.5-7B-Instruct,patch_028,0.9914236771450798,0.9990890195904064,-0.007665342445326573
google/gemma-2-9b-it,patch_032,0.8798080190810369,0.3053406626254409,0.574467356455596
google/gemma-2-9b-it,patch_029,0.938560168656969,0.3907874741446877,0.5477726945122814
google/gemma-2-9b-it,patch_035,0.9701118832383686,0.485474235087274,0.4846376481510946
google/gemma-2-9b-it,patch_020,0.7405499719535954,0.2621057315283361,0.4784442404252593
google/gemma-2-9b-it,patch_015,0.88178591191353,0.4174425664074375,0.46434334550609246
google/gemma-2-9b-it,patch_013,0.5427408829660522,0.11940720357783,0.4233336793882222
google/gemma-2-9b-it,patch_034,0.6004432603077572,0.1920095392804312,0.408433721027326
google/gemma-2-9b-it,patch_005,0.4940540545701365,0.101337184136117,0.3927168704340195
google/gemma-2-9b-it,patch_010,0.4779287260378805,0.1075828525889554,0.3703458734489251
google/gemma-2-9b-it,patch_023,0.4160608948985472,0.0574999565976406,0.3585609383009066
google/gemma-2-9b-it,patch_025,0.9787395262087992,0.7810296621337884,0.1977098640750108
google/gemma-2-9b-it,patch_037,0.2155696766671425,0.0541641951884539,0.1614054814786886
google/gemma-2-9b-it,patch_033,0.1601296410836284,0.0160176627136377,0.1441119783699907
google/gemma-2-9b-it,patch_006,0.951823310051748,0.8813888922327864,0.07043441781896165
google/gemma-2-9b-it,patch_047,0.0778645981694307,0.0158656651495972,0.0619989330198335
google/gemma-2-9b-it,patch_002,0.9854881534561368,0.9450560331928882,0.040432120263248605
google/gemma-2-9b-it,patch_028,0.9518173034903862,0.9145366970874071,0.03728060640297903
google/gemma-2-9b-it,patch_009,0.9811895222820766,0.9456442858095364,0.035545236472540154
google/gemma-2-9b-it,patch_030,0.9836975974262055,0.951903932451204,0.03179366497500158
google/gemma-2-9b-it,patch_022,0.0593461589294652,0.0285854643721429,0.0307606945573223
google/gemma-2-9b-it,patch_008,0.0377366504951003,0.0073299212827653,0.030406729212334997
google/gemma-2-9b-it,patch_049,0.0260535435559197,0.0083223818926129,0.0177311616633068
google/gemma-2-9b-it,patch_018,0.0237660491503272,0.0074448433447594,0.0163212058055678
google/gemma-2-9b-it,patch_003,0.0272095908122055,0.012120719530613,0.0150888712815925
google/gemma-2-9b-it,patch_044,0.9665671507467748,0.9521156531422764,0.014451497604498376
google/gemma-2-9b-it,patch_019,0.9958380480335882,0.9839485657954828,0.011889482238105376
google/gemma-2-9b-it,patch_016,0.9930884267106178,0.9814497924846656,0.011638634225952238
google/gemma-2-9b-it,patch_040,0.9901234674520608,0.9817036578934856,0.008419809558575242
google/gemma-2-9b-it,patch_039,0.9953344629371792,0.9888817353594348,0.006452727577744399
google/gemma-2-9b-it,patch_011,0.9856263682584292,0.9792711519917008,0.006355216266728414
google/gemma-2-9b-it,patch_045,0.0081560854635837,0.0023548409688531,0.005801244494730599
google/gemma-2-9b-it,patch_036,0.9957833497576116,0.9899956916301113,0.0057876581275003725
google/gemma-2-9b-it,patch_014,0.9888601267429168,0.9837986800349156,0.005061446708001238
google/gemma-2-9b-it,patch_012,0.015910244644523,0.0122795876605068,0.0036306569840162013
google/gemma-2-9b-it,patch_027,0.0058418979453103,0.0023547602359884,0.0034871377093219002
google/gemma-2-9b-it,patch_004,0.9911773633770374,0.988699864383946,0.002477498993091465
google/gemma-2-9b-it,patch_038,0.0162454952100009,0.0139238828903403,0.0023216123196606007
google/gemma-2-9b-it,patch_043,0.06756586264238,0.0652873199841525,0.002278542658227495
google/gemma-2-9b-it,patch_024,0.0031384071305712,0.001150360197174,0.0019880469333972
google/gemma-2-9b-it,patch_026,0.9953023946903748,0.993976161436866,0.0013262332535088905
google/gemma-2-9b-it,patch_048,0.0010850106656259,0.000421668459585,0.0006633422060409001
google/gemma-2-9b-it,patch_031,0.0419893693024204,0.0413602805617516,0.000629088740668797
google/gemma-2-9b-it,patch_050,0.9995356084055864,0.9990688567199362,0.0004667516856502463
google/gemma-2-9b-it,patch_046,0.9975068186188772,0.9971782750459228,0.0003285435729544206
google/gemma-2-9b-it,patch_017,0.0125846372198342,0.012418643902774,0.0001659933170602007
google/gemma-2-9b-it,patch_042,0.998168179944784,0.998161472249256,6.707695528018753e-06
google/gemma-2-9b-it,patch_007,0.9886269144860124,0.9912135901001704,-0.0025866756141580405
google/gemma-2-9b-it,patch_041,0.9663597799142878,0.9816317719111608,-0.015271991996873013
google/gemma-2-9b-it,patch_021,0.0254479850518028,0.0460570663624011,-0.020609081310598302
google/gemma-2-9b-it,patch_001,0.8956913602430812,0.9874949536344364,-0.09180359339135524
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_042,0.8200849894350327,0.5722063073470672,0.24787868208796549
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_041,0.5330388804750511,0.2995079494523632,0.2335309310226879
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_026,0.3807968989842991,0.1665281724612937,0.21426872652300538
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_018,0.3351409617619181,0.1423638809624021,0.192777080799516
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_006,0.5354014837685352,0.3526564921143681,0.18274499165416713
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_015,0.4484078532296072,0.2780719662537141,0.17033588697589308
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_030,0.3508053647364749,0.1852325672507891,0.1655727974856858
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_009,0.7335307935615744,0.5705097595083737,0.16302103405320068
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_010,0.2302127044101949,0.0733666730014113,0.15684603140878361
meta-llama/Meta-Llama-3.1-8B-Instruct,patch_038,0.3822268226806044,0.2280150319512586,0.15421179072934577
