model,patch_id,p_yes_hedged,p_yes_claims,drop
Qwen/Qwen2.5-72B-Instruct,patch_031,0.0028090094540534,8.512068093850666e-05,0.002723888773114893
Qwen/Qwen2.5-72B-Instruct,patch_003,0.003618310861171,0.0017159404594299,0.0019023704017411
Qwen/Qwen2.5-72B-Instruct,patch_039,0.9989709224368368,0.997533331316487,0.0014375911203498015
Qwen/Qwen2.5-72B-Instruct,patch_033,0.001338005379624,1.1576642341391829e-05,0.0013264287372826082
Qwen/Qwen2.5-72B-Instruct,patch_036,0.9988341019185176,0.9978384793022168,0.0009956226163008175
Qwen/Qwen2.5-72B-Instruct,patch_037,0.0017246118755279,0.0009277229738144,0.0007968889017135
Qwen/Qwen2.5-72B-Instruct,patch_041,0.9992909583698888,0.998501349446854,0.0007896089230348124
Qwen/Qwen2.5-72B-Instruct,patch_028,0.9998612760695904,0.999095424113917,0.0007658519556733578
Qwen/Qwen2.5-72B-Instruct,patch_012,0.0009155497990237,0.000297159272863,0.0006183905261607
Qwen/Qwen2.5-72B-Instruct,patch_030,0.9999418354099296,0.9993799745853053,0.0005618608246243939
Qwen/Qwen2.5-72B-Instruct,patch_022,0.0003819846561941,4.813342597744854e-06,0.00037717131359635514
Qwen/Qwen2.5-72B-Instruct,patch_045,0.0002059492863205,3.614122762901744e-05,0.00016980805869148255
Qwen/Qwen2.5-72B-Instruct,patch_013,9.783382815510584e-05,2.030516640409482e-06,9.580331151469635e-05
Qwen/Qwen2.5-72B-Instruct,patch_038,2.4360429295698088e-05,5.748532555503882e-07,2.37855760401477e-05
Qwen/Qwen2.5-72B-Instruct,patch_042,0.999959988875596,0.9999419556147796,1.803326081639689e-05
Qwen/Qwen2.5-72B-Instruct,patch_008,1.30469620788329e-05,1.7659589498505352e-06,1.1281003128982366e-05
Qwen/Qwen2.5-72B-Instruct,patch_002,0.9959336629403162,0.9959333945136492,2.6842666700499507e-07
Qwen/Qwen2.5-72B-Instruct,patch_049,1.292967367709202e-07,3.6464211589849615e-10,1.289320946550217e-07
Qwen/Qwen2.5-72B-Instruct,patch_018,7.758877596928538e-08,7.236521107713873e-09,7.035225486157152e-08
Qwen/Qwen2.5-72B-Instruct,patch_024,4.702726875471812e-08,9.760285903292426e-10,4.605124016438888e-08
Qwen/Qwen2.5-72B-Instruct,patch_011,0.9983002168008112,0.998300847930851,-6.311300398964548e-07
Qwen/Qwen2.5-72B-Instruct,patch_007,0.5628251006710249,0.5630842880531048,-0.00025918738207997283
Qwen/Qwen2.5-72B-Instruct,patch_040,0.0260743876366218,0.029431014049895,-0.0033566264132731984
meta-llama/Llama-3.3-70B-Instruct,patch_037,0.9998197407790576,0.0602322683949678,0.9395874723840898
meta-llama/Llama-3.3-70B-Instruct,patch_012,0.977022633749183,0.0474358896318914,0.9295867441172916
meta-llama/Llama-3.3-70B-Instruct,patch_018,0.9399143036438954,0.0293148449874903,0.9105994586564051
meta-llama/Llama-3.3-70B-Instruct,patch_032,0.9994433669326028,0.0954934731525401,0.9039498937800627
meta-llama/Llama-3.3-70B-Instruct,patch_035,0.9626273481873424,0.1193211494358963,0.8433061987514461
meta-llama/Llama-3.3-70B-Instruct,patch_014,0.9999867698963816,0.2259414601900178,0.7740453097063638
meta-llama/Llama-3.3-70B-Instruct,patch_034,0.6224812932256738,0.0373450082368795,0.5851362849887943
meta-llama/Llama-3.3-70B-Instruct,patch_003,0.9992884192761544,0.5001628250223331,0.4991255942538213
meta-llama/Llama-3.3-70B-Instruct,patch_027,0.5622171498666495,0.1192510007695854,0.4429661490970641
meta-llama/Llama-3.3-70B-Instruct,patch_031,0.4378423375064443,0.0474319230663661,0.3904104144400782
meta-llama/Llama-3.3-70B-Instruct,patch_045,0.2227332642823303,0.0373377105003505,0.1853955537819798
meta-llama/Llama-3.3-70B-Instruct,patch_025,0.99752787358302,0.8176058557042265,0.17992201787879347
meta-llama/Llama-3.3-70B-Instruct,patch_036,0.9958578498722584,0.8371538048202903,0.1587040450519681
meta-llama/Llama-3.3-70B-Instruct,patch_047,0.1824703799538597,0.0600981713955768,0.1223722085582829
meta-llama/Llama-3.3-70B-Instruct,patch_033,0.1192101371405998,0.0035941512286596,0.11561598591194021
meta-llama/Llama-3.3-70B-Instruct,patch_043,0.99907949092721,0.8931044900733235,0.10597500085388656
meta-llama/Llama-3.3-70B-Instruct,patch_046,0.9465988077109544,0.8519630156612159,0.09463579204973849
meta-llama/Llama-3.3-70B-Instruct,patch_049,0.0953570132516257,0.0024729112419372,0.0928841020096885
meta-llama/Llama-3.3-70B-Instruct,patch_008,0.9999404681284793,0.9242920923028712,0.07564837582560802
meta-llama/Llama-3.3-70B-Instruct,patch_017,0.9999300498033716,0.9572185680146976,0.04271148178867401
meta-llama/Llama-3.3-70B-Instruct,patch_013,0.9399180199813504,0.904670162902142,0.03524785707920841
meta-llama/Llama-3.3-70B-Instruct,patch_022,0.0293166058848265,0.0066937405798371,0.0226228653049894
meta-llama/Llama-3.3-70B-Instruct,patch_020,0.9995629369375412,0.9769968185550034,0.022566118382537748
meta-llama/Llama-3.3-70B-Instruct,patch_044,0.0294784084805735,0.0141532771224325,0.015325131358140998
meta-llama/Llama-3.3-70B-Instruct,patch_029,0.999986849039328,0.989018733542916,0.010968115496411968
meta-llama/Llama-3.3-70B-Instruct,patch_038,0.9986527634940816,0.9888538249596912,0.0097989385343904
meta-llama/Llama-3.3-70B-Instruct,patch_030,0.999997422696,0.9926575580679262,0.007339864628073789
meta-llama/Llama-3.3-70B-Instruct,patch_021,0.9995012248987004,0.9933230438684308,0.0061781810302695694
meta-llama/Llama-3.3-70B-Instruct,patch_024,0.008578408605364,0.0035943265982203,0.0049840820071437
meta-llama/Llama-3.3-70B-Instruct,patch_010,0.9999593307009949,0.9953807944659796,0.004578536235015251
meta-llama/Llama-3.3-70B-Instruct,patch_005,0.9999764344384116,0.9967976636956848,0.0031787707427267664
meta-llama/Llama-3.3-70B-Instruct,patch_006,0.9998396695436308,0.9967976222197013,0.003042047323929542
meta-llama/Llama-3.3-70B-Instruct,patch_028,0.9999130220148936,0.9979190169645048,0.001994005050388825
meta-llama/Llama-3.3-70B-Instruct,patch_015,0.9997778401640804,0.998142580646882,0.0016352595171984508
meta-llama/Llama-3.3-70B-Instruct,patch_023,0.9999805140590464,0.9990870858470688,0.000893428211977576
meta-llama/Llama-3.3-70B-Instruct,patch_002,0.999997305726704,0.9995488693295088,0.00044843639719516215
meta-llama/Llama-3.3-70B-Instruct,patch_048,0.0005532140190911,0.000203566825987,0.0003496471931041
meta-llama/Llama-3.3-70B-Instruct,patch_026,0.9999777858125892,0.9997647502883564,0.00021303552423279637
meta-llama/Llama-3.3-70B-Instruct,patch_001,0.9997517247294688,0.9996338464487764,0.00011787828069242945
meta-llama/Llama-3.3-70B-Instruct,patch_050,0.9999982896394756,0.9999126432708624,8.56463686131903e-05
meta-llama/Llama-3.3-70B-Instruct,patch_019,0.9999976907013628,0.9999142743897798,8.341631158303997e-05
meta-llama/Llama-3.3-70B-Instruct,patch_016,0.9999998505735226,0.999944562665198,5.528790832454167e-05
meta-llama/Llama-3.3-70B-Instruct,patch_004,0.9999923680666338,0.999950511884564,4.1856182069865966e-05
meta-llama/Llama-3.3-70B-Instruct,patch_009,0.999990355803656,0.9999592461917488,3.1109611907220724e-05
meta-llama/Llama-3.3-70B-Instruct,patch_041,0.9999976481920912,0.9999797151665863,1.79330255049015e-05
meta-llama/Llama-3.3-70B-Instruct,patch_039,0.999999833403978,0.999990600632202,9.232771776002124e-06
meta-llama/Llama-3.3-70B-Instruct,patch_011,0.999999399100662,0.9999965442393614,2.8548613006940116e-06
meta-llama/Llama-3.3-70B-Instruct,patch_040,0.9999999039974502,0.9999986785366384,1.2254608118267285e-06
meta-llama/Llama-3.3-70B-Instruct,patch_042,0.999999958497833,0.9999991015905144,8.56907318547151e-07
meta-llama/Llama-3.3-70B-Instruct,patch_007,0.9999999955605264,0.9999999624596864,3.310084006891145e-08
